model,snr_db,ber,accuracy
Standard ReLU DNN,-4.0,0.34033334255218506,0.6596666574478149
Knowledge-informed DNN,-4.0,0.3373333215713501,0.6626666784286499
Matched-filter prior only,-4.0,0.2563333511352539,0.7436666488647461
Standard ReLU DNN,0.0,0.2736666798591614,0.7263333201408386
Knowledge-informed DNN,0.0,0.2680000066757202,0.7319999933242798
Matched-filter prior only,0.0,0.22933334112167358,0.7706666588783264
Standard ReLU DNN,4.0,0.23333334922790527,0.7666666507720947
Knowledge-informed DNN,4.0,0.2213333249092102,0.7786666750907898
Matched-filter prior only,4.0,0.2226666808128357,0.7773333191871643
Standard ReLU DNN,8.0,0.19766664505004883,0.8023333549499512
Knowledge-informed DNN,8.0,0.18400001525878906,0.8159999847412109
Matched-filter prior only,8.0,0.2200000286102295,0.7799999713897705
Standard ReLU DNN,12.0,0.1823333501815796,0.8176666498184204
Knowledge-informed DNN,12.0,0.16333335638046265,0.8366666436195374
Matched-filter prior only,12.0,0.20766669511795044,0.7923333048820496
Standard ReLU DNN,16.0,0.17100000381469727,0.8289999961853027
Knowledge-informed DNN,16.0,0.15066665410995483,0.8493333458900452
Matched-filter prior only,16.0,0.19499999284744263,0.8050000071525574
