model,epoch,loss,train_accuracy,train_ber
Standard ReLU DNN,1,0.6970821886062623,0.5170000195503235,0.4829999804496765
Standard ReLU DNN,2,0.6848868908882141,0.6200000047683716,0.3799999952316284
Standard ReLU DNN,3,0.6731677894592285,0.7210000157356262,0.2789999842643738
Standard ReLU DNN,4,0.6605872330665589,0.7829999923706055,0.21700000762939453
Standard ReLU DNN,5,0.64663640832901,0.796999990940094,0.203000009059906
Standard ReLU DNN,6,0.6302392263412475,0.8199999928474426,0.18000000715255737
Standard ReLU DNN,7,0.6120415754318237,0.8289999961853027,0.17100000381469727
Standard ReLU DNN,8,0.590657458782196,0.8360000252723694,0.16399997472763062
Standard ReLU DNN,9,0.5664433121681214,0.843999981880188,0.156000018119812
Standard ReLU DNN,10,0.5404722294807434,0.8560000061988831,0.14399999380111694
Standard ReLU DNN,11,0.5109605751037598,0.8669999837875366,0.13300001621246338
Standard ReLU DNN,12,0.4797999005317688,0.8830000162124634,0.11699998378753662
Standard ReLU DNN,13,0.4466328740119934,0.9010000228881836,0.0989999771118164
Standard ReLU DNN,14,0.4107894332408905,0.9100000262260437,0.0899999737739563
Standard ReLU DNN,15,0.37413423776626586,0.925000011920929,0.07499998807907104
Standard ReLU DNN,16,0.3360406231880188,0.9369999766349792,0.06300002336502075
Standard ReLU DNN,17,0.29747556495666505,0.9559999704360962,0.04400002956390381
Standard ReLU DNN,18,0.25917991042137145,0.9760000109672546,0.02399998903274536
Standard ReLU DNN,19,0.22149179124832152,0.9819999933242798,0.018000006675720215
Standard ReLU DNN,20,0.18638291668891907,0.9900000095367432,0.009999990463256836
Standard ReLU DNN,21,0.15410693371295928,0.9950000047683716,0.004999995231628418
Standard ReLU DNN,22,0.12504988265037537,0.9950000047683716,0.004999995231628418
Standard ReLU DNN,23,0.09939531010389328,0.996999979019165,0.003000020980834961
Standard ReLU DNN,24,0.07868652439117432,0.9980000257492065,0.001999974250793457
Standard ReLU DNN,25,0.06120496398210525,0.9990000128746033,0.0009999871253967285
Standard ReLU DNN,26,0.04777114483714104,0.9990000128746033,0.0009999871253967285
Standard ReLU DNN,27,0.03752543604373932,0.9990000128746033,0.0009999871253967285
Standard ReLU DNN,28,0.029671383574604988,0.9990000128746033,0.0009999871253967285
Standard ReLU DNN,29,0.023892466485500335,0.9990000128746033,0.0009999871253967285
Standard ReLU DNN,30,0.019416845679283142,0.9990000128746033,0.0009999871253967285
Knowledge-informed DNN,1,0.7175284862518311,0.4959999918937683,0.5040000081062317
Knowledge-informed DNN,2,0.7013403506278991,0.4959999918937683,0.5040000081062317
Knowledge-informed DNN,3,0.6901605582237244,0.4959999918937683,0.5040000081062317
Knowledge-informed DNN,4,0.6790461602210999,0.49900001287460327,0.5009999871253967
Knowledge-informed DNN,5,0.6669419684410095,0.5130000114440918,0.4869999885559082
Knowledge-informed DNN,6,0.6537943201065064,0.5429999828338623,0.4570000171661377
Knowledge-informed DNN,7,0.6398999242782593,0.5740000009536743,0.4259999990463257
Knowledge-informed DNN,8,0.6248833270072937,0.6069999933242798,0.3930000066757202
Knowledge-informed DNN,9,0.6091596574783326,0.6570000052452087,0.34299999475479126
Knowledge-informed DNN,10,0.5918181943893432,0.699999988079071,0.30000001192092896
Knowledge-informed DNN,11,0.5729609861373901,0.7360000014305115,0.2639999985694885
Knowledge-informed DNN,12,0.5530204176902771,0.7570000290870667,0.24299997091293335
Knowledge-informed DNN,13,0.5305644083023071,0.7860000133514404,0.21399998664855957
Knowledge-informed DNN,14,0.5064682459831238,0.8159999847412109,0.18400001525878906
Knowledge-informed DNN,15,0.48010536408424376,0.8339999914169312,0.16600000858306885
Knowledge-informed DNN,16,0.4514655876159668,0.8539999723434448,0.14600002765655518
Knowledge-informed DNN,17,0.4202969176769257,0.8700000047683716,0.12999999523162842
Knowledge-informed DNN,18,0.3880378196239471,0.8899999856948853,0.11000001430511475
Knowledge-informed DNN,19,0.35431401467323304,0.9100000262260437,0.0899999737739563
Knowledge-informed DNN,20,0.3192195973396301,0.9279999732971191,0.07200002670288086
Knowledge-informed DNN,21,0.28328736042976377,0.9440000057220459,0.0559999942779541
Knowledge-informed DNN,22,0.2482438747882843,0.9549999833106995,0.04500001668930054
Knowledge-informed DNN,23,0.21378244233131408,0.9670000076293945,0.03299999237060547
Knowledge-informed DNN,24,0.18150275206565858,0.9750000238418579,0.02499997615814209
Knowledge-informed DNN,25,0.15048494458198547,0.9819999933242798,0.018000006675720215
Knowledge-informed DNN,26,0.12267044800519943,0.9890000224113464,0.010999977588653564
Knowledge-informed DNN,27,0.09824114227294922,0.9950000047683716,0.004999995231628418
Knowledge-informed DNN,28,0.07735662561655045,0.996999979019165,0.003000020980834961
Knowledge-informed DNN,29,0.06014518129825592,0.9990000128746033,0.0009999871253967285
Knowledge-informed DNN,30,0.04619537949562073,0.9990000128746033,0.0009999871253967285
